FNCL 4.5 1/25 Mtge,px_mid
2025-01-02,94.046875
2025-01-03,93.8984375
2025-01-06,93.7265625
2025-01-07,93.421875
2025-01-08,93.3125
2025-01-09,93.4453125
2025-01-10,92.6484375
